Top250	212	McCormick & Schmick's	NA	157	-15.6%	35	-14.6%	NA	Seafood
Top250	95	Mellow Mushroom	NA	461	-0.3%	187	-1.1%	NA	Casual Dining & Italian/Pizza
Top250	194	Claim Jumper	NA	177	-10.2%	35	-5.4%	NA	Varied Menu
Top250	32	Cracker Barrel	Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.	2482	1.8%	660	0.8%	NA	Family Dining & Family Style
Top250	9	Domino's	NA	7044	6.9%	6126	4.3%	NA	Quick Service & Pizza
Top250	191	Donatos Pizza	NA	179	3.8%	165	3.1%	NA	Pizza
Top250	124	Schlotzsky's	NA	335	-0.5%	373	0.5%	Atlanta, GA	Sandwich
Top250	200	Beef 'O' Brady's	The chain is working on a rejuvenation, converting about 26 of its franchised units to company-owned ones and using those as testing grounds for new initiatives. It rolled out a separate lunch menu and added some higher-quality dinner options such as steak and salmon, and is also investing in high-tech fryers and a new POS system.	171	-5.0%	153	-2.5%	NA	Sports Bar
Top250	114	Peet's Coffee	NA	357	4.3%	423	2.2%	Emeryville, CA	Coffee Cafe
Top250	133	Caribou Coffee	NA	306	6.7%	464	3.8%	Minneapolis, MN	Coffee Cafe
Top250	138	Old Chicago Pizza & Taproom	NA	275	4.5%	109	1.9%	Chattanooga, TN	Italian/Pizza
Top250	197	Giordano's	NA	173	5.5%	70	1.4%	NA	Italian/Pizza
Top250	11	Pizza Hut	The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.	5558	0.6%	7306	-2.4%	NA	Quick Service & Pizza
Top250	39	Golden Corral	NA	1746	0.8%	483	-1.2%	NA	Quick Service & Family Casual
Top250	73	Baskin-Robbins	NA	615	0.6%	2524	-1.0%	NA	Quick Service & Frozen Desserts
Top250	215	Chicken Salad Chick	Benefiting from being perhaps the only chain focusing on chicken salad, Chicken Salad Chick announced its 16th consecutive quarter of same-store sales growth in February 2020. It was acquired by private-equity firm Brentwood Associates in November.	153	39.5%	144	38.5%	NA	Chicken
Top250	187	Mountain Mike's Pizza	NA	181	10.9%	215	5.4%	NA	Pizza
Top250	47	Bojangles'	NA	1331	2.7%	746	-1.3%	NA	Quick Service & Chicken
Top250	107	Long John Silver's	NA	404	-8.2%	850	-2.4%	Louisville, KY	Seafood
Top250	85	Checkers Drive-In Restaurants	NA	535	-1.8%	584	-0.2%	NA	Quick Service & Burger
Top250	101	Charleys Philly Steaks	NA	435	4.9%	540	2.3%	NA	Quick Service & Sandwich
Top250	227	Ocean Prime	NA	144	20.2%	16	6.7%	NA	Seafood
Top250	33	The Cheesecake Factory	NA	2180	2.5%	206	2.5%	NA	Casual Dining & Varied Menu
Top250	19	Popeyes Louisiana Kitchen	NA	3812	18.3%	2476	5.5%	NA	Quick Service & Chicken
Top250	96	The Capital Grille	NA	461	4.7%	58	0.0%	NA	Fine Dining & Steak
Top250	109	Chuck E. Cheese's	NA	381	-0.5%	537	1.3%	Irving, TX	Pizza
Top250	135	Au Bon Pain	NA	289	-8.1%	170	-5.6%	Boston, MA	Bakery Cafe
Top250	241	54th Street Restaurant & Drafthouse	NA	131	4.5%	31	6.9%	NA	Varied Menu
Top250	10	Panera Bread	NA	5890	4.0%	2160	3.2%	NA	Fast Casual & Bakery Cafe
Top250	115	Dickey's Barbecue Pit	NA	349	-9.2%	497	-6.4%	Dallas, TX	BBQ
Top250	202	Bill Miller Bar-B-Q	NA	170	3.6%	75	1.4%	NA	BBQ
Top250	48	BJ's Restaurant & Brewhouse	BJ's Restaurants' bullish approach to off-premise has paid off, helping it to pass TGI Fridays and become the No. 10 casual-dining chain. As of July, delivery sales at the chain were growing at a 20% clip, and the chain reported that takeout and catering sales were increasing as well. BJ's also overhauled its back-of-house operations in 2019 to make things more efficient and easier on employees.	1161	4.0%	208	3.0%	NA	Casual Dining & Varied Menu
Top250	59	Bob Evans	NA	795	-4.2%	483	-1.4%	NA	Family Dining & Family Style
Top250	1	McDonald's	NA	40412	4.9%	13846	-0.5%	NA	Quick Service & Burger
Top250	190	Farmer Boys	NA	179	1.7%	93	1.1%	NA	Burger
Top250	162	Fuzzy's Taco Shop	NA	225	8.6%	152	3.4%	NA	Mexican
Top250	45	Waffle House	Waffle House	1344	3.4%	1959	1.2%	NA	Family Dining & Family Style
Top250	121	Big Boy/Frisch's Big Boy	NA	338	-3.4%	194	-3.0%	Warren, MI	Family Style
Top250	157	Fazoli's	NA	238	2.8%	215	0.0%	NA	Sandwich
Top250	75	Bonefish Grill	NA	587	-0.9%	197	0.0%	NA	Casual Dining & Seafood
Top250	108	Saltgrass Steak House	NA	402	14.9%	88	10.0%	Houston, TX	Steak
Top250	53	Qdoba Mexican Eats	NA	901	5.9%	730	-2.9%	NA	Fast Casual & Mexican
Top250	136	Bar Louie	NA	284	-5.6%	128	-3.0%	Addison, TX	Varied Menu
Top250	129	Ninety Nine Restaurants	NA	324	2.1%	108	0.9%	Woburn, MA	Varied Menu
Top250	158	Rubio's	NA	232	-0.1%	197	-3.4%	NA	Mexican
Top250	198	Islands Fine Burgers & Drinks	NA	173	0.9%	56	0.0%	NA	Varied Menu
Top250	218	Hurricane Grill & Wings	NA	151	0.8%	56	0.0%	NA	Sports Bar
Top250	239	Daylight Donuts	NA	132	2.2%	415	0.2%	NA	Snack
Top250	193	Taco Bueno	NA	178	-12.4%	145	-12.1%	NA	Mexican
Top250	90	Boston Market	NA	501	-9.9%	390	-14.1%	NA	Fast Casual & Chicken
Top250	16	Applebee's	NA	4085	-3.0%	1665	-1.7%	NA	Casual Dining & Varied Menu
Top250	84	Freddy's Frozen Custard & Steakburgers	NA	535	12.9%	368	12.2%	NA	Fast Casual & Burger
Top250	199	Mimi's Bistro & Bakery	NA	172	-4.8%	77	-2.5%	NA	Varied Menu
Top250	179	True Food Kitchen	The health-focused chain with a rotating menu is in growth mode, with plans for new units as well as its first stand-alone cocktail and juice bar, located next to a new True Food Kitchen location at Caesars Palace in Las Vegas.	190	13.8%	32	28.0%	NA	Varied Menu
Top250	105	Maggiano's Little Italy	NA	417	1.1%	53	1.9%	Dallas, TX	Italian/Pizza
Top250	51	Steak 'n Shake	As of August, the chain had temporarily closed more than 100 locations with plans to refranchise them to single-store operators. And in early 2020, it announced plans to convert about 100 units to counter service. Prior to the coronavirus crisis, it was named in a Fitch Ratings report as a chain at risk of a Chapter 11 filing.	950	-7.7%	576	-3.0%	NA	Quick Service & Burger
Top250	237	The Coffee Bean & Tea Leaf	The LA-based chain was acquired by Jollibee in July for $350 million, becoming the largest deal yet for the international fast-food company. Jollibee planned to grow the The Coffee Bean in Asia, where there's a race for coffee supremacy.	133	-2.1%	282	-0.7%	NA	Coffee Cafe
Top250	127	On The Border Mexican Grill & Cantina	NA	327	-6.1%	136	-4.9%	Irving, TX	Mexican
Top250	50	In-N-Out Burger	NA	957	4.6%	351	3.5%	NA	Quick Service & Burger
Top250	229	Pollo Campero	NA	143	1.1%	78	-2.5%	NA	Chicken
Top250	230	Houlihan's	The chain filed for bankruptcy in November and was simultaneously acquired by Landry's for $40 million. The move followed the closure of 12 unprofitable stores. It joins Landry's collection of polished-casual chains such as Morton's The Steakhouse and McCormick & Schmick's.	143	-21.2%	45	-32.8%	NA	Varied Menu
Top250	172	Uno Pizzeria & Grill	NA	196	-12.9%	85	-14.1%	NA	Italian/Pizza
Top250	236	Walk-On's Sports Bistreaux	NA	133	27.8%	33	37.5%	NA	Sports Bar
Top250	31	Red Lobster	NA	2490	1.6%	679	0.1%	NA	Casual Dining & Seafood
Top250	122	Black Bear Diner	NA	336	15.3%	138	15.0%	Redding, CA	Family Style
Top250	180	Buca di Beppo	NA	189	-5.7%	76	-1.3%	NA	Italian/Pizza
Top250	192	Shoney's	NA	179	-4.4%	126	-0.8%	NA	Family Style
Top250	225	Eddie V's Prime Seafood	NA	144	8.1%	21	10.5%	NA	Seafood
Top250	231	Old Country Buffet/HomeTown Buffet	NA	142	-18.8%	49	-24.6%	NA	Family Casual
Top250	219	The Old Spaghetti Factory	NA	150	2.2%	42	0.0%	NA	Italian/Pizza
Top250	67	Ruth's Chris Steak House	NA	703	1.6%	135	1.5%	Winter Park, FL	Steak
Top250	104	Pollo Tropical	NA	425	-2.1%	174	3.0%	Miami, FL	Chicken
Top250	167	Souplantation & Sweet Tomatoes	NA	211	-3.3%	97	0.0%	NA	Family Casual
Top250	36	Zaxby's	NA	1886	6.0%	910	1.3%	NA	Fast Casual & Chicken
Top250	166	Lazy Dog Restaurant & Bar	NA	213	21.3%	36	20.0%	NA	Varied Menu
Top250	250	Jollibee	NA	126	15.2%	40	11.1%	NA	Chicken
Top250	56	Hooters	NA	858	0.4%	341	0.0%	NA	Casual Dining & Sports Bar
Top250	165	Brio Tuscan Grille	NA	217	-4.0%	57	-1.7%	NA	Italian/Pizza
Top250	211	Wayback Burgers	NA	159	2.0%	143	0.7%	NA	Burger
Top250	220	Taziki's Mediterranean Cafe	NA	149	11.9%	93	6.9%	NA	Ethnic
Top250	160	A&W All-American Food	The chain's 100th birthday found it working to reconcile its classic heritage with modern trends. It has doubled down on social media marketing to target younger generations and introduced tablet-based staff training to slow turnover. It's exploring delivery, though "the jury's still out," CEO Kevin Bazner told RB in July.	227	1.8%	575	-6.5%	NA	Burger
Top250	185	Sweetgreen	In June, Sweetgreen made its first acquisition: meal delivery service Galley Foods. The move signaled a new and more aggressive approach to delivery for the fast-growing chain, combining Sweetgreen's supply chain with Galley's knowledge of home delivery.	184	16.8%	102	10.9%	NA	Healthy
Top250	224	Duffy's Sports Grill	NA	144	2.6%	34	0.0%	NA	Sports Bar
Top250	55	Krispy Kreme	NA	887	4.4%	364	4.0%	NA	Quick Service & Snack
Top250	69	Jason's Deli	NA	647	-1.1%	283	1.8%	NA	Fast Casual & Sandwich
Top250	29	Outback Steakhouse	NA	2635	0.9%	724	-1.2%	NA	Casual Dining & Steak
Top250	123	Twin Peaks	NA	335	2.6%	84	0.0%	Dallas, TX	Sports Bar
Top250	143	Braum's Ice Cream & Dairy Stores	NA	268	2.2%	281	0.0%	Oklahoma City, OK	Frozen Desserts
Top250	71	Shake Shack	NA	622	31.8%	173	27.2%	NA	Fast Casual & Burger
Top250	8	Dunkin'	Dunkin' dropped "Donuts" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. "To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin'," he said.	9228	5.0%	9630	2.2%	NA	Quick Service & Coffee Cafe
Top250	13	Sonic Drive-In	The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: "This is how we Sonic."	4687	4.6%	3526	-2.1%	NA	Quick Service & Burger
Top250	54	El Pollo Loco	NA	894	3.0%	482	-0.4%	NA	Quick Service & Chicken
Top250	65	Church's Chicken	NA	716	-5.2%	1032	-5.0%	NA	Quick Service & Chicken
Top250	168	Friendly's	The family-dining chain closed many underperforming units in 2019, including 23 on one day in April, reducing its unit count by more than 20% for the year. The 86-year-old brand cited "shifting consumer demographics and market dynamics" as challenges.	210	-15.3%	160	-20.4%	NA	Family Style
Top250	149	Sizzler	NA	259	-3.8%	122	-6.9%	Mission Viejo, CA	Family Casual
Top250	144	Pei Wei Asian Diner	NA	268	-12.5%	150	-16.7%	Irving, TX	Asian/Noodle
Top250	4	Taco Bell	NA	11293	9.0%	6766	2.7%	NA	Quick Service & Mexican
Top250	249	Cook-Out Restaurant	NA	126	10.1%	270	7.1%	NA	Burger
Top250	234	BurgerFi	NA	138	3.0%	112	7.7%	NA	Burger
Top250	213	Grand Lux Cafe	NA	157	1.2%	13	0.0%	NA	Varied Menu
Top250	110	Taco John's	NA	373	0.5%	387	-1.3%	Cheyenne, WY	Mexican
Top250	139	Rally's Hamburgers	NA	275	-3.5%	290	-3.7%	Lexington, KY	Burger
Top250	216	Paris Baguette	The chain originating in South Korea is growing quickly in the U.S. under the guidance of growth-chain veterans such as Darren Tipton and Jack Moran, formerly of Le Pain Quotidien. Tipton moved up to CEO for U.S. operations in 2019, and Moran became the company's global chief.	152	14.5%	81	8.0%	NA	Bakery Cafe
Top250	61	Papa Murphy's Pizza	Though the chain saw declines in both sales and units in 2019, it remains beloved by consumers. Guests surveyed by Technomic named it their favorite limited-service pizza chain as well as a leader in tech-enabled ordering.	748	-5.9%	1329	-5.1%	NA	Quick Service & Pizza
Top250	244	L&L Hawaiian Barbecue	NA	129	5.1%	195	3.7%	NA	BBQ
Top250	91	The Habit Burger Grill	NA	500	14.5%	273	10.5%	NA	Fast Casual & Burger
Top250	68	Carrabba's Italian Grill	NA	653	-1.0%	225	-0.9%	NA	Casual Dining & Italian/Pizza
Top250	153	Godfather's Pizza	NA	250	4.9%	569	3.8%	NA	Pizza
Top250	183	Fuddruckers	NA	185	-15.8%	138	-11.5%	NA	Burger
Top250	72	California Pizza Kitchen	NA	621	-3.3%	199	-0.5%	NA	Casual Dining & Italian/Pizza
Top250	145	Cafe Rio Mexican Grill	NA	267	9.9%	126	6.8%	Salt Lake City, UT	Mexican
Top250	150	Seasons 52	NA	253	1.4%	44	4.8%	Orlando, FL	Varied Menu
Top250	42	Raising Cane's Chicken Fingers	NA	1466	23.8%	457	14.3%	NA	Fast Casual & Chicken
Top250	66	Tim Hortons	On the other side of that equation is Tim Hortons, which saw its consumer approval ratings slip by nearly 6 points in 2019, according to Technomic. A turnaround plan includes a renewed focus on the chain's core coffee and breakfast platforms along with changes to its loyalty program and a $100 million investment in drive-thru menu boards.	714	-3.5%	715	-1.7%	Toronto, ON	Quick Service & Coffee Cafe
Top250	28	Papa John's	NA	2638	-2.7%	3142	-1.8%	NA	Quick Service & Pizza
Top250	151	Bahama Breeze Island Grille	NA	252	5.3%	43	7.5%	NA	Varied Menu
Top250	88	Jamba	NA	514	0.8%	767	-1.8%	NA	Quick Service & Beverage
Top250	174	Luby's	Luby's, another of the industry's oldest concepts, also closed underperforming locations last year, shrinking its footprint by 6%. And in September, it said it had begun investigating "strategic alternatives," or a sale, merger or refinancing.	195	-7.5%	79	-6.0%	NA	Family Casual
Top250	40	Five Guys Burgers and Fries	NA	1661	7.4%	1368	0.7%	NA	Fast Casual & Burger
Top250	221	Menchie's Frozen Yogurt	NA	149	-3.1%	416	-2.1%	NA	Frozen Desserts
Top250	98	Miller's Ale House	NA	446	10.2%	98	11.4%	NA	Casual Dining & Sports Bar
Top250	189	The Melting Pot	NA	181	-6.5%	105	-7.9%	NA	Varied Menu
Top250	78	Dave & Buster's	NA	571	6.5%	132	10.9%	Dallas, TX	Sports Bar
Top250	159	Legal Sea Foods	NA	227	-1.9%	34	-2.9%	NA	Seafood
Top250	186	Golden Chick	NA	183	6.7%	184	0.5%	NA	Chicken
Top250	27	Denny's	NA	2691	1.1%	1558	-1.5%	NA	Family Dining & Family Style
Top250	203	Black Angus Steakhouse	NA	168	1.6%	42	-4.5%	NA	Steak
Top250	25	IHOP	NA	3266	2.0%	1710	0.3%	NA	Family Dining & Family Style
Top250	81	Auntie Anne's	NA	559	0.2%	1288	-0.5%	NA	Quick Service & Snack
Top250	195	Wetzel's Pretzels	NA	177	3.9%	353	5.4%	NA	Snack
Top250	214	Anthony's Coal Fired Pizza	NA	153	4.0%	68	1.5%	NA	Italian/Pizza
Top250	210	Lee's Famous Recipe Chicken	NA	161	-2.3%	129	-1.5%	NA	Chicken
Top250	134	Jack's	NA	290	9.8%	176	8.6%	Birmingham, AL	Burger
Top250	2	Starbucks	NA	21380	8.6%	15049	3.0%	NA	Quick Service & Coffee Cafe
Top250	26	Texas Roadhouse	NA	3016	11.0%	553	3.8%	NA	Casual Dining & Steak
Top250	6	Subway	NA	10200	-2.0%	23801	-4.0%	NA	Quick Service & Sandwich
Top250	246	Rainforest Cafe	NA	129	-10.4%	18	-5.3%	NA	Varied Menu
Top250	35	Hardee's	NA	2020	-4.0%	1820	-1.4%	NA	Quick Service & Burger
Top250	12	Chipotle Mexican Grill	NA	5509	14.8%	2584	5.3%	NA	Fast Casual & Mexican
Top250	20	Little Caesars	The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for "at least $5 less" than its competitors.	3811	2.7%	4237	-0.6%	NA	Quick Service & Pizza
Top250	242	Biggby Coffee	NA	129	3.8%	240	0.8%	NA	Coffee Cafe
Top250	3	Chick-fil-A	While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.	11320	13.0%	2470	5.0%	NA	Quick Service & Chicken
Top250	43	Carl's Jr.	NA	1423	-2.5%	1095	-2.3%	NA	Quick Service & Burger
Top250	64	Cheddar's Scratch Kitchen	NA	724	0.6%	175	2.9%	NA	Casual Dining & Varied Menu
Top250	176	Firebirds Wood Fired Grill	NA	192	7.4%	51	6.3%	NA	Varied Menu
Top250	89	Portillo's	NA	505	12.2%	62	8.8%	NA	Fast Casual & Sandwich
Top250	141	Pizza Ranch	NA	269	7.3%	212	2.9%	Orange City, IA	Pizza
Top250	130	Village Inn	NA	313	-7.9%	183	-9.0%	Denver, CO	Family Style
Top250	163	Sbarro	NA	218	-4.0%	300	-2.6%	NA	Pizza
Top250	58	Firehouse Subs	NA	832	4.8%	1155	1.9%	NA	Fast Casual & Sandwich
Top250	83	Perkins Restaurant & Bakery	After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.	541	-9.5%	309	-13.0%	NA	Family Dining & Family Style
Top250	113	Blaze Pizza	NA	366	12.4%	313	5.7%	Pasadena, CA	Pizza
Top250	52	P.F. Chang's	NA	917	1.4%	221	0.0%	NA	Casual Dining & Asian
Top250	70	Marco's Pizza	NA	628	4.8%	915	3.6%	NA	Quick Service & Pizza
Top250	21	Dairy Queen	NA	3760	2.9%	4381	-0.6%	NA	Quick Service & Frozen Desserts
Top250	17	Panda Express	Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). "They continue to have just strong year after strong year, and there's never any competition in their segment," said Schimpf.	3946	12.0%	2209	4.9%	NA	Fast Casual & Asian/Noodle
Top250	112	Cold Stone Creamery	NA	369	-2.3%	895	-0.9%	Scottsdale, AZ	Frozen Desserts
Top250	120	Cooper's Hawk Winery & Restaurants	NA	338	19.9%	41	17.1%	Countryside, IL	Varied Menu
Top250	204	Smokey Bones Bar & Fire Grill	New CEO James O'Reilly, hired in May, plans to overhaul the barbecue chain's menu this year, disposing of items such as fish and chips and getting back to the basics with house-smoked barbecue, steaks and burgers. It will also focus more on the bar, with an emphasis on craft beer and cocktails.	168	-1.3%	61	-3.2%	NA	BBQ
Top250	132	Fleming's Prime Steakhouse & Wine Bar	NA	307	1.0%	68	-2.9%	Tampa, FL	Steak
Top250	14	KFC	NA	4546	2.5%	4065	-0.2%	NA	Quick Service & Chicken
Top250	74	Yard House	NA	609	6.6%	79	9.7%	NA	Casual Dining & Varied Menu
Top250	226	Topgolf	The eatertainment chain developed a new, smaller prototype that will allow it to go into small and midsize cities, greatly expanding its potential market. It was focused on places with between 100,000 and 500,000 residents. The first such location opened in Kirkland, Wash., in January.	144	14.6%	54	14.9%	NA	Varied Menu
Top250	7	Wendy's	NA	9762	4.2%	5852	0.7%	NA	Quick Service & Burger
Top250	248	Lupe Tortilla	NA	127	12.1%	25	8.7%	NA	Mexican
